
========== 로그 시작: Fri Dec  5 12:37:28 2025
시간                온도(°C)  습도(%)  히터   팬
----------------------------------------------------
2025-12-05 12:37:52     24.90     50.20      ON   OFF
2025-12-05 12:37:53     25.10     50.87      ON   OFF
2025-12-05 12:37:54     25.61     51.31      ON   OFF
2025-12-05 12:37:55     26.01     51.91      ON   OFF
2025-12-05 12:37:56     26.49     52.49      ON   OFF
2025-12-05 12:37:57     26.89     53.12      ON   OFF
2025-12-05 12:37:58     27.33     53.77      ON   OFF
2025-12-05 12:37:59     27.64     54.50      ON   OFF
2025-12-05 12:38:00     28.09     55.19     OFF   OFF
2025-12-05 12:38:01     28.24     55.79     OFF   OFF
2025-12-05 12:38:02     27.93     56.35      ON   OFF
2025-12-05 12:38:03     28.13     56.92     OFF   OFF
2025-12-05 12:38:04     28.32     57.42     OFF   OFF
2025-12-05 12:38:05     27.89     58.09      ON   OFF
2025-12-05 12:38:06     28.06     58.81     OFF   OFF
2025-12-05 12:38:07     28.12     59.42     OFF   OFF
2025-12-05 12:38:08     27.87     59.97      ON   OFF
2025-12-05 12:38:09     27.86     60.61      ON   OFF
2025-12-05 12:38:10     28.23     61.23     OFF   OFF
2025-12-05 12:38:11     28.23     61.81     OFF   OFF
2025-12-05 12:38:12     27.99     62.40      ON   OFF
2025-12-05 12:38:13     27.55     63.02      ON   OFF
2025-12-05 12:38:14     28.09     63.64     OFF   OFF
2025-12-05 12:38:15     28.48     64.14     OFF   OFF
2025-12-05 12:38:16     28.19     64.73     OFF   OFF
2025-12-05 12:38:17     27.91     65.41      ON   OFF
2025-12-05 12:38:18     28.02     65.91     OFF   OFF
2025-12-05 12:38:19     28.28     66.52     OFF   OFF
2025-12-05 12:38:20     27.93     66.96      ON   OFF
2025-12-05 12:38:21     27.81     67.55      ON   OFF
2025-12-05 12:38:22     28.17     68.13     OFF   OFF
2025-12-05 12:38:23     28.28     68.70     OFF   OFF
2025-12-05 12:38:24     27.91     69.15      ON   OFF
2025-12-05 12:38:25     28.07     69.83     OFF   OFF
2025-12-05 12:38:26     28.05     70.46     OFF    ON
2025-12-05 12:38:27     27.74     70.17      ON    ON
2025-12-05 12:38:28     27.75     69.23      ON   OFF
2025-12-05 12:38:29     28.15     68.87     OFF   OFF
2025-12-05 12:38:30     28.16     69.55     OFF   OFF
2025-12-05 12:38:31     27.89     70.08      ON    ON
2025-12-05 12:38:32     27.90     70.03      ON    ON
2025-12-05 12:38:33     28.27     68.95     OFF   OFF
2025-12-05 12:38:34     28.41     68.71     OFF   OFF
2025-12-05 12:38:35     28.14     69.43     OFF   OFF
2025-12-05 12:38:36     27.77     69.98      ON   OFF
2025-12-05 12:38:37     27.81     70.76      ON    ON
2025-12-05 12:38:38     28.23     70.60     OFF    ON
2025-12-05 12:38:39     28.18     69.69     OFF   OFF
2025-12-05 12:38:40     27.87     69.54      ON   OFF
2025-12-05 12:38:41     28.06     70.04     OFF    ON
2025-12-05 12:38:42     28.13     69.94     OFF   OFF
2025-12-05 12:38:43     27.79     69.85      ON   OFF
2025-12-05 12:38:44     27.88     70.57      ON    ON
2025-12-05 12:38:45     28.34     70.36     OFF    ON
2025-12-05 12:38:46     28.36     69.43     OFF   OFF
2025-12-05 12:38:47     27.96     69.27      ON   OFF
2025-12-05 12:38:48     27.87     69.97      ON   OFF
2025-12-05 12:38:49     28.45     70.39     OFF    ON
2025-12-05 12:38:50     28.55     70.23     OFF    ON
2025-12-05 12:38:51     28.14     69.27     OFF   OFF
2025-12-05 12:38:52     27.75     69.15      ON   OFF
2025-12-05 12:38:54     27.85     69.73      ON   OFF
2025-12-05 12:38:55     28.27     70.40     OFF    ON
2025-12-05 12:38:56     28.55     70.92     OFF    ON
2025-12-05 12:38:57     28.19     69.87     OFF   OFF
2025-12-05 12:38:58     27.82     69.69      ON   OFF
2025-12-05 12:38:59     27.89     70.21      ON    ON
2025-12-05 12:39:00     28.43     69.94     OFF   OFF
2025-12-05 12:39:01     28.41     69.89     OFF   OFF
2025-12-05 12:39:02     28.19     70.45     OFF    ON
2025-12-05 12:39:03     27.88     70.23      ON    ON
2025-12-05 12:39:04     28.02     69.15     OFF   OFF
2025-12-05 12:39:05     28.09     68.97     OFF   OFF
2025-12-05 12:39:06     27.80     69.65      ON   OFF
2025-12-05 12:39:07     27.81     70.17      ON    ON
2025-12-05 12:39:08     28.22     70.13     OFF    ON
2025-12-05 12:39:09     28.31     68.97     OFF   OFF
2025-12-05 12:39:10     27.80     68.84      ON   OFF
2025-12-05 12:39:11     27.89     69.42      ON   OFF
2025-12-05 12:39:12     28.16     69.99     OFF   OFF
2025-12-05 12:39:13     28.15     70.48     OFF    ON
2025-12-05 12:39:14     27.77     70.37      ON    ON
2025-12-05 12:39:15     27.80     69.43      ON   OFF
2025-12-05 12:39:16     28.20     69.22     OFF   OFF
2025-12-05 12:39:17     28.26     69.80     OFF   OFF
2025-12-05 12:39:18     27.99     70.34      ON    ON
2025-12-05 12:39:19     27.93     70.12      ON    ON
2025-12-05 12:39:20     28.25     69.14     OFF   OFF
2025-12-05 12:39:21     28.37     69.11     OFF   OFF
2025-12-05 12:39:22     28.06     69.69     OFF   OFF
2025-12-05 12:39:23     27.76     70.43      ON    ON
2025-12-05 12:39:24     27.96     70.17      ON    ON
2025-12-05 12:39:25     28.28     69.28     OFF   OFF
2025-12-05 12:39:26     28.32     68.91     OFF   OFF
2025-12-05 12:39:27     27.96     69.55      ON   OFF
2025-12-05 12:39:28     28.04     70.13     OFF    ON
2025-12-05 12:39:29     27.97     69.86      ON   OFF
2025-12-05 12:39:30     28.10     69.73     OFF   OFF
2025-12-05 12:39:31     28.10     70.42     OFF    ON
2025-12-05 12:39:32     27.82     70.38      ON    ON
2025-12-05 12:39:33     27.90     69.42      ON   OFF
2025-12-05 12:39:34     28.35     69.17     OFF   OFF
2025-12-05 12:39:35     28.54     69.83     OFF   OFF
2025-12-05 12:39:36     28.20     70.34     OFF    ON
2025-12-05 12:39:37     27.91     69.96      ON   OFF
2025-12-05 12:39:38     28.02     69.76     OFF   OFF
2025-12-05 12:39:39     27.92     70.42      ON    ON
2025-12-05 12:39:40     27.94     70.23      ON    ON
2025-12-05 12:39:41     28.15     69.22     OFF   OFF
2025-12-05 12:39:42     28.28     69.02     OFF   OFF
2025-12-05 12:39:43     27.79     69.63      ON   OFF
2025-12-05 12:39:44     27.93     70.41      ON    ON
2025-12-05 12:39:45     28.50     70.25     OFF    ON
2025-12-05 12:39:46     28.50     69.27     OFF   OFF
2025-12-05 12:39:47     28.24     69.13     OFF   OFF
2025-12-05 12:39:48     27.96     69.76      ON   OFF
2025-12-05 12:39:49     27.98     70.25      ON    ON
2025-12-05 12:39:50     28.45     70.08     OFF    ON
2025-12-05 12:39:51     28.66     69.14     OFF   OFF
2025-12-05 12:39:52     28.29     69.05     OFF   OFF
2025-12-05 12:39:53     27.91     69.71      ON   OFF
2025-12-05 12:39:54     28.03     70.40     OFF    ON
2025-12-05 12:39:55     27.96     70.20      ON    ON
2025-12-05 12:39:56     28.01     69.23     OFF   OFF
2025-12-05 12:39:57     28.16     68.95     OFF   OFF
2025-12-05 12:39:58     27.77     69.39      ON   OFF
2025-12-05 12:39:59     27.89     70.01      ON    ON
2025-12-05 12:40:00     28.41     69.84     OFF   OFF
2025-12-05 12:40:01     28.50     69.64     OFF   OFF
2025-12-05 12:40:02     28.00     70.27     OFF    ON
2025-12-05 12:40:03     27.70     70.07      ON    ON
2025-12-05 12:40:04     27.75     68.96      ON   OFF
2025-12-05 12:40:05     28.15     68.82     OFF   OFF
2025-12-05 12:40:06     28.27     69.35     OFF   OFF
2025-12-05 12:40:07     27.85     69.85      ON   OFF
2025-12-05 12:40:08     27.82     70.48      ON    ON
2025-12-05 12:40:09     28.23     70.16     OFF    ON
2025-12-05 12:40:10     28.12     69.10     OFF   OFF
2025-12-05 12:40:11     27.74     69.02      ON   OFF
2025-12-05 12:40:12     27.78     69.69      ON   OFF
2025-12-05 12:40:13     28.08     70.16     OFF    ON
2025-12-05 12:40:14     28.10     69.98     OFF   OFF
2025-12-05 12:40:15     27.88     69.77      ON   OFF
2025-12-05 12:40:16     27.93     70.36      ON    ON
2025-12-05 12:40:17     28.17     70.27     OFF    ON
2025-12-05 12:40:18     28.23     69.34     OFF   OFF
2025-12-05 12:40:19     28.07     69.19     OFF   OFF
2025-12-05 12:40:20     27.66     69.89      ON   OFF
2025-12-05 12:40:21     27.67     70.36      ON    ON
2025-12-05 12:40:22     28.15     70.14     OFF    ON
2025-12-05 12:40:23     28.10     69.09     OFF   OFF
2025-12-05 12:40:24     27.93     68.89      ON   OFF
2025-12-05 12:40:25     28.06     69.49     OFF   OFF
2025-12-05 12:40:26     27.94     69.95      ON   OFF
2025-12-05 12:40:27     28.08     70.71     OFF    ON
2025-12-05 12:40:28     28.13     70.63     OFF    ON
2025-12-05 12:40:29     27.97     69.57      ON   OFF
2025-12-05 12:40:30     27.90     69.31      ON   OFF
2025-12-05 12:40:31     28.40     69.91     OFF   OFF
2025-12-05 12:40:32     28.38     70.60     OFF    ON
2025-12-05 12:40:33     27.88     70.30      ON    ON
2025-12-05 12:40:34     27.89     69.34      ON   OFF
2025-12-05 12:40:35     28.27     69.19     OFF   OFF
2025-12-05 12:40:36     28.20     69.75     OFF   OFF
2025-12-05 12:40:37     27.78     70.47      ON    ON
2025-12-05 12:40:38     27.69     70.21      ON    ON
2025-12-05 12:40:39     28.00     69.36     OFF   OFF
2025-12-05 12:40:40     28.06     69.15     OFF   OFF
2025-12-05 12:40:41     27.82     69.90      ON   OFF
2025-12-05 12:40:42     27.82     70.57      ON    ON
2025-12-05 12:40:43     28.30     70.23     OFF    ON
2025-12-05 12:40:44     27.98     69.17      ON   OFF
2025-12-05 12:40:45     28.43     69.75     OFF   OFF
2025-12-05 12:40:46     27.99     70.44      ON    ON
2025-12-05 12:40:47     28.41     69.45     OFF   OFF
2025-12-05 12:40:48     28.04     69.95     OFF   OFF
2025-12-05 12:40:49     27.76     70.62      ON    ON
2025-12-05 12:40:50     28.26     69.51     OFF   OFF
2025-12-05 12:40:51     27.90     70.03      ON    ON
2025-12-05 12:40:52     28.11     69.09     OFF   OFF
2025-12-05 12:40:53     27.79     69.68      ON   OFF
2025-12-05 12:40:54     28.24     70.29     OFF    ON
2025-12-05 12:40:55     27.89     69.15      ON   OFF
2025-12-05 12:40:56     28.23     69.76     OFF   OFF
2025-12-05 12:40:57     27.98     70.39      ON    ON
2025-12-05 12:40:58     28.27     69.48     OFF   OFF
2025-12-05 12:40:59     27.92     69.98      ON   OFF
2025-12-05 12:41:00     28.44     70.69     OFF    ON
2025-12-05 12:41:01     27.96     69.76      ON   OFF
2025-12-05 12:41:02     28.42     70.35     OFF    ON
2025-12-05 12:41:03     27.92     69.46      ON   OFF
2025-12-05 12:41:04     28.42     70.03     OFF    ON
2025-12-05 12:41:05     28.06     69.12     OFF   OFF
2025-12-05 12:41:06     27.69     69.76      ON   OFF
2025-12-05 12:41:07     28.21     70.50     OFF    ON
2025-12-05 12:41:08     27.90     69.53      ON   OFF
2025-12-05 12:41:09     28.17     70.19     OFF    ON
2025-12-05 12:41:10     27.87     69.19      ON   OFF
2025-12-05 12:41:11     28.33     69.79     OFF   OFF
2025-12-05 12:41:12     27.96     70.35      ON    ON
2025-12-05 12:41:13     28.41     69.34     OFF   OFF
2025-12-05 12:41:14     28.09     70.06     OFF    ON
2025-12-05 12:41:15     27.81     69.10      ON   OFF
2025-12-05 12:41:16     28.05     69.69     OFF   OFF
2025-12-05 12:41:17     27.75     70.21      ON    ON
2025-12-05 12:41:18     28.02     69.28     OFF   OFF
2025-12-05 12:41:19     27.76     69.79      ON   OFF
2025-12-05 12:41:20     28.24     70.39     OFF    ON
2025-12-05 12:41:21     27.89     69.33      ON   OFF
2025-12-05 12:41:22     28.32     69.92     OFF   OFF
2025-12-05 12:41:23     28.01     70.64     OFF    ON
2025-12-05 12:41:24     27.80     69.65      ON   OFF
2025-12-05 12:41:25     28.29     70.31     OFF    ON
2025-12-05 12:41:26     27.86     69.32      ON   OFF
2025-12-05 12:41:27     28.15     69.97     OFF   OFF
2025-12-05 12:41:28     27.88     70.43      ON    ON
2025-12-05 12:41:29     28.26     69.37     OFF   OFF
2025-12-05 12:41:30     27.85     70.09      ON    ON
2025-12-05 12:41:31     28.26     69.05     OFF   OFF
2025-12-05 12:41:32     27.88     69.62      ON   OFF
2025-12-05 12:41:33     28.28     70.16     OFF    ON
2025-12-05 12:41:34     27.88     69.10      ON   OFF
2025-12-05 12:41:35     28.27     69.69     OFF   OFF
2025-12-05 12:41:36     27.98     70.33      ON    ON
2025-12-05 12:41:37     28.56     69.33     OFF   OFF
2025-12-05 12:41:38     28.30     69.84     OFF   OFF
2025-12-05 12:41:39     28.04     70.41     OFF    ON
2025-12-05 12:41:40     27.66     69.27      ON   OFF
2025-12-05 12:41:41     28.04     69.74     OFF   OFF
2025-12-05 12:41:42     27.75     70.38      ON    ON
2025-12-05 12:41:43     28.13     69.52     OFF   OFF
2025-12-05 12:41:44     27.79     70.13      ON    ON
2025-12-05 12:41:45     28.20     69.22     OFF   OFF
2025-12-05 12:41:46     27.86     69.84      ON   OFF
2025-12-05 12:41:47     28.23     70.50     OFF    ON
2025-12-05 12:41:48     28.02     69.38     OFF   OFF
2025-12-05 12:41:49     27.66     69.94      ON   OFF
2025-12-05 12:41:50     28.06     70.72     OFF    ON
2025-12-05 12:41:51     27.87     69.87      ON   OFF
2025-12-05 12:41:52     28.20     70.38     OFF    ON
2025-12-05 12:41:53     27.84     69.41      ON   OFF
2025-12-05 12:41:54     28.26     70.07     OFF    ON
2025-12-05 12:41:55     27.84     69.06      ON   OFF
2025-12-05 12:41:56     28.28     69.70     OFF   OFF
2025-12-05 12:41:57     27.97     70.43      ON    ON
2025-12-05 12:41:58     28.45     69.30     OFF   OFF
2025-12-05 12:41:59     28.29     69.99     OFF   OFF
2025-12-05 12:42:00     28.12     70.66     OFF    ON
2025-12-05 12:42:01     27.90     69.70      ON   OFF
2025-12-05 12:42:02     28.15     70.30     OFF    ON
2025-12-05 12:42:03     27.84     69.29      ON   OFF
2025-12-05 12:42:04     28.24     69.96     OFF   OFF
2025-12-05 12:42:05     27.90     70.50      ON    ON
2025-12-05 12:42:06     28.27     69.39     OFF   OFF
2025-12-05 12:42:07     28.09     70.08     OFF    ON
2025-12-05 12:42:08     27.91     69.14      ON   OFF
